,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,adar,katz_s,katz_d,jaccard_followers,jaccard_followees,cosine_followers,cosine_followees
0,1,2,1,0.0002528573864191698,0.0006506760855052425,2,0.0,0.020863318151288352,0.022439155586752677,0.0,0.0,0.0,0.0
1,3,4,1,0.0008443584467693753,0.0003726653377676744,5,0.0,0.021081550404792485,0.021079874641876776,0.0,0.0,0.0,0.0
2,5,6,1,8.721273906764127e-05,0.00038369051756628443,3,0.0,0.020551894168597415,0.022018582151128785,0.0,0.0,0.0,0.0
3,1,7,1,0.0002528573864191698,0.0006099940825698007,2,0.0,0.020863318151288352,0.02201841424215343,0.0,0.0,0.0,0.0
4,8,9,1,0.0004159726711845702,0.0004886355981180666,2,0.0,0.021291182409903353,0.022958097054388144,0.034482758620689655,0.0,0.0,0.016433237956922923
5,10,11,1,8.563060075917546e-05,0.00044806315606262057,2,0.0,0.020551894168597415,0.02244061384640341,0.0,0.0,0.0,0.0
6,12,13,1,0.000456467730683581,0.0003300816245171249,5,0.0,0.020875947393014425,0.020970354676826765,0.0,0.0,0.0,0.0
7,14,15,1,0.0017096246640785758,0.0004802428198097015,5,0.0,0.023062974487839744,0.020983312710324734,0.0,0.0,0.0,0.0
8,16,17,1,0.0003246110299245347,0.0003254712994912719,4,0.0,0.02086543657631458,0.021809264923966974,0.0,0.0,0.0,0.0
9,18,19,1,0.00020184796214232882,0.0007428397025792072,5,0.0,0.020975017965838286,0.02076162850929631,0.0,0.0,0.0,0.0
10,20,7,1,0.0007272097981345373,0.0006099940825698007,2,0.0,0.021187395318662067,0.02201841424215343,0.1111111111111111,0.0,0.0,0.058321184351980436
11,16,21,1,0.0003246110299245347,0.0015027965384089663,3,0.0,0.02086543657631458,0.02117742542781674,0.0,0.0,0.0,0.0
12,1,22,1,0.0002528573864191698,0.0006673479054837576,2,0.0,0.020863318151288352,0.02202266701992387,0.0,0.0,0.0,0.0
13,10,23,1,8.563060075917546e-05,0.0006033783554794774,2,0.0,0.020551894168597415,0.02128479784837547,0.0,0.0,0.0,0.0
14,24,25,1,0.00012404488983902318,0.0004873229384997475,5,0.0,0.0206546536394404,0.02169700002224194,0.0,0.0,0.0,0.0
15,10,26,1,8.563060075917546e-05,0.0003327810811317075,2,2.095903274289385,0.020551894168597415,0.021175248494116797,0.0,0.005813953488372093,0.04428074427700476,0.0
16,27,28,1,0.00039175047527543317,0.000489796499403072,2,0.0,0.021087316521290027,0.022140795030241994,0.1111111111111111,0.0,0.0,0.05962847939999438
17,20,2,1,0.0007272097981345373,0.0006506760855052425,4,0.0,0.021187395318662067,0.022439155586752677,0.043478260869565216,0.0,0.0,0.022680460581325723
18,29,26,1,0.0005165659727727699,0.0003327810811317075,4,2.095903274289385,0.020762145171070775,0.021175248494116797,0.0,0.0125,0.06537204504606134,0.0
19,30,13,1,0.0003523866162903036,0.0003300816245171249,7,0.0,0.020974124305255165,0.020970354676826765,0.0,0.0,0.0,0.0
20,31,28,1,0.0004131182495849949,0.000489796499403072,2,0.0,0.021927477646623877,0.022140795030241994,0.21739130434782608,0.0,0.0,0.09245003270420486
21,16,32,1,0.0003246110299245347,0.0014797638872552103,5,0.0,0.02086543657631458,0.020868058766801686,0.0,0.0,0.0,0.0
22,33,34,1,0.0005508767156446482,8.710603904961379e-05,-1,0.8977117175026231,0.020866483566873133,0.020551894168597415,0.0,0.003194888178913738,0.03273853022358256,0.0
23,29,11,1,0.0005165659727727699,0.00044806315606262057,3,0.0,0.020762145171070775,0.02244061384640341,0.0,0.0,0.0,0.0
