,Fitness,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
0,0.4991830850552619,0.1,4.0,2.0,0.1,0.1,0.1,3.0,2.0,2.0,2.0,2.0
1,0.4991830850552619,0.2956945396446502,49.0,2.0,0.5752951528169431,0.5072882887364973,0.9244207786264567,1.0,3.0,7.0,10.0,8.0
2,0.4991830850552619,0.6409806490849044,1192.0,18.0,0.6405043086569477,0.03665952777967978,0.7471207689712683,1.0,4.0,4.0,8.0,8.0
3,0.4991830850552619,0.44581840656069865,1164.0,18.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,9.0,7.0
4,0.4991830850552619,0.2956945396446502,49.0,2.0,0.5752951528169431,0.5072882887364973,0.9244207786264567,0.0,3.0,7.0,10.0,8.0
5,0.49915104917507613,0.2614211947444769,1478.0,14.0,0.43272953623872334,0.6203293282722417,0.2754022193033375,1.0,5.0,9.0,7.0,5.0
6,0.49857440333173153,0.44581840656069865,1216.0,18.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,0.0,4.0,10.0,9.0,6.0
7,0.4985423674515457,0.44581840656069865,1164.0,17.0,0.4075703102537078,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,9.0,7.0
8,0.49780554220727213,0.44581840656069865,1164.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,9.0,9.0,6.0
9,0.49415345186609005,0.44581840656069865,1164.0,9.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,6.0,10.0,9.0,3.0
10,0.4934166266218164,0.6414183669636406,1178.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,9.0,8.0
11,0.4923274066954989,0.7625091563789985,1130.0,18.0,0.8644455734242414,0.03665952777967978,0.9341345032844078,0.0,4.0,10.0,8.0,9.0
12,0.49197501201345506,0.4005680272023631,1452.0,11.0,0.3574821193685114,0.1525191660115202,0.766070805397161,0.0,4.0,3.0,4.0,5.0
13,0.48960435687970527,0.7471085448369766,1286.0,11.0,0.603212302617608,0.18544710560487074,0.4640502743697439,1.0,5.0,9.0,7.0,9.0
14,0.48816274227134393,0.6352683791795315,1164.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,4.0,10.0,9.0,6.0
15,0.48784238346948583,0.7625091563789985,1269.0,16.0,0.3100768061345065,0.03665952777967978,0.4017874326650529,0.0,4.0,9.0,8.0,9.0
16,0.4850552618933205,0.6041258621714177,1163.0,17.0,0.8799043710566121,0.476359462859735,0.38440834003812224,0.0,4.0,10.0,8.0,8.0
17,0.48489508249239144,0.2614211947444769,1478.0,14.0,0.8640987455025502,0.6906218459089883,0.4640502743697439,1.0,5.0,9.0,7.0,5.0
18,0.4821720326765978,0.44581840656069865,1164.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,9.0,6.0
19,0.4821720326765978,0.44581840656069865,1102.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,10.0,6.0
20,0.4821720326765978,0.44581840656069865,1164.0,17.0,0.32926570603897853,0.48296854907911474,0.38278309268474914,1.0,3.0,10.0,9.0,6.0
